distritos,Fator_1,Fator_2,clusters_k4
AGUA RASA,-0.6823713222272025,0.7055305183324355,0
ALTO DE PINHEIROS,-1.7903037110544984,-1.4415651538234031,1
ANHANGUERA,1.2043787368092131,-2.183685391376935,2
ARICANDUVA,0.25792763355152354,0.9839348746697377,0
ARTUR ALVIM,0.2052844547368575,1.564607480111845,0
BARRA FUNDA,-0.8964522477378305,-1.20210211847653,1
BELA VISTA,-1.1548906335201807,2.109204901924174,0
BELEM,-0.5532976179030379,-0.04287094174156422,1
BOM RETIRO,-0.2951607715551176,0.48263969682551416,0
BRAS,-0.11489993482629358,0.3616950632774774,0
BRASILANDIA,1.5317597046812854,0.046604445568930335,3
BUTANTA,-0.8438676406556828,-0.5968555924170528,1
CACHOEIRINHA,1.011355032083649,-0.3658840447173941,3
CAMBUCI,-0.9969424825840466,-0.04464384729205838,1
CAMPO BELO,-1.1897991646316017,-0.9859437562964692,1
CAMPO GRANDE,-0.30490177335373364,-0.4557545043738293,1
CAMPO LIMPO,0.6526864293500735,0.31151681186296687,3
CANGAIBA,0.25244731573548274,-0.306142724234532,3
CAPAO REDONDO,1.0207265888503834,0.37908773088718245,3
CARRAO,-0.5535679922054236,0.4175038366848664,0
CASA VERDE,-0.3848240564254886,0.7081174705795776,0
CIDADE ADEMAR,0.7162921904964746,1.1298694011645607,0
CIDADE DUTRA,0.9036314063665121,-0.8943462821359861,3
CIDADE LIDER,0.6724368751258223,0.40223237024444364,3
CIDADE TIRADENTES,1.6906491107669759,0.2350096513593728,3
CONSOLACAO,-1.7567159149664804,0.5166401249780916,1
CURSINO,-0.3597056997494575,-0.08971545828225926,1
ERMELINO MATARAZZO,0.5900988584614185,0.4906154299582474,3
FREGUESIA DO O,-0.038252737553820734,0.9141845245410134,0
GRAJAU,1.7163104901078723,-1.6250318402112345,2
GUAIANASES,1.2043041314729361,0.7370668388939386,3
MOEMA,-1.9682328847847426,-1.3690827326465833,1
IGUATEMI,1.5904729745603101,-0.734439633222059,3
IPIRANGA,-0.28261453835030836,0.05187502383447656,0
ITAIM BIBI,-1.627627046218153,-0.5140767614626277,1
ITAIM PAULISTA,1.0892035989438917,1.1269052154446186,3
ITAQUERA,0.6276466294747023,0.7815108115854305,0
JABAQUARA,0.008305672298160014,0.452863837372846,0
JACANA,0.1902121264644215,0.46606585860168703,0
JAGUARA,0.0010935074151376706,0.4119108193083563,0
JAGUARE,0.057718259310076035,-1.5582402973489118,2
JARAGUA,1.038332273108557,-0.6867422745126983,3
JARDIM ANGELA,1.684686984796703,-0.7774315203595819,3
JARDIM HELENA,1.1297825148887093,0.5551267129916275,3
JARDIM PAULISTA,-2.46653601091682,-0.49343272903477575,1
JARDIM SAO LUIS,1.181177267830228,-0.5395673051696112,3
JOSE BONIFACIO,0.5288017707558061,0.32977210369149434,3
LAPA,-1.2584222101316824,-0.44586176309561754,1
LIBERDADE,-1.1039414104025813,1.2208673115713837,0
LIMAO,-0.04135968207437099,0.5053939871564072,0
MANDAQUI,-0.3203170184495055,-0.0434427880360599,1
MARSILAC,2.0519229055761463,-0.19461272914485034,3
MOOCA,-0.9228185903653532,0.002791334153785441,1
MORUMBI,-1.1664253683148893,-3.0212582293338373,2
PARELHEIROS,1.6357391602347249,-1.5835187248869615,2
PARI,-0.31545082667046775,0.44884165830050077,0
PARQUE DO CARMO,0.6532709155363925,-0.6125790356620978,3
PEDREIRA,1.1706757164942685,-1.6881947978751366,2
PENHA,-0.3042506376027806,0.5150181788922641,0
PERDIZES,-1.709716988352325,0.39816847490754037,1
PERUS,1.1699659612500222,-0.7795396584871714,3
PINHEIROS,-1.6974299040249654,-0.7375609919857221,1
PIRITUBA,0.22677439617462464,0.1447308252400075,3
PONTE RASA,0.025947436460938424,1.078102831595269,0
RAPOSO TAVARES,0.5548068625837415,-0.5132664983158043,3
REPUBLICA,-0.9588115936825179,1.9286832342300686,0
RIO PEQUENO,0.6889533721693613,0.07257510330319389,3
SACOMA,0.38717480469843757,0.07178093445466709,3
SANTA CECILIA,-1.0710789371865883,1.404204148797236,0
SANTANA,-1.0833308423853805,-0.08487927167604481,1
SANTO AMARO,-1.8975540666901662,-1.4595150446245961,1
SAO LUCAS,-0.016262736700687886,1.2384207368966629,0
SAO MATEUS,0.689332406118149,0.2559150395157502,3
SAO MIGUEL,0.7553733151841127,1.0965917996377508,0
SAO RAFAEL,1.0578413561526339,-0.020597805439492585,3
SAPOPEMBA,0.7089282184766689,1.5171288089290433,0
SAUDE,-1.2121614336746662,0.24434040296585888,1
SE,0.12178538391417977,1.044674935070058,0
SOCORRO,-0.7197415458345643,-0.8667329506560416,1
TATUAPE,-0.8870539114271859,0.24212811124889208,1
TREMEMBE,0.3915248113659179,-0.9445432807412324,3
TUCURUVI,-0.8820639002514673,0.3569181534294403,1
VILA ANDRADE,0.7631040385151152,-3.6792505763944594,2
VILA CURUCA,1.1211050470912052,0.9751267164038719,3
VILA FORMOSA,-0.3609500946566487,0.6261294666896727,0
VILA GUILHERME,-0.5810035199494578,0.04739676761115964,1
VILA JACUI,0.9334788581781172,0.6903432876189317,3
VILA LEOPOLDINA,-0.4576404050100751,-1.4738195547485573,2
VILA MARIA,0.18016067822718468,0.14077669797860137,3
VILA MARIANA,-1.644220042166541,0.07141550034745416,1
VILA MATILDE,-0.1834619195693648,0.8546876843422033,0
VILA MEDEIROS,0.09994743234553415,1.7389181732166,0
VILA PRUDENTE,-0.29286058589598335,0.1627692128390022,0
VILA SONIA,-0.20326896922517046,-1.0579356287720885,1
SAO DOMINGOS,0.11780007608467401,-0.6474557602126252,3
LAJEADO,1.2892256306399732,0.9951889271863282,3
